name,year,latitude,longitude,source_url,type
Detroit United Railway Power House Station A,1922,42.332,-83.0305,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Kimball - Eisenberg Co. Whole Pipe & Plumbing Supplies,1922,42.332,-83.0324,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Great Lakes Engineering Works Detroit Plant,1922,42.331,-83.031,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Detroit United Railway Power House Station B,1922,42.3317,-83.0298,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
U.S. Gypsum Co. Plaster Mill,1922,42.331,-83.031,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Metal Junk Yard,1922,42.333,-83.0297,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Iron & Scrap Metal Ware House,1922,42.3337,-83.0287,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
A. J. Smith Construction Co. Material and Tool Yard,1922,42.3329,-83.0286,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Huron-Portland Cement Co. Detroit Plant,1922,42.3319,-83.0285,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Detroit Ship Building Co. Orleans Plant,1922,42.3336,-83.0267,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
F. Joseph Lamb Co. Machine & Tool Shop,1922,42.3351,-83.0259,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Essex Brass Co. Brass Works,1922,42.3354,-83.0253,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Michigan Steel Casting Co.,1922,42.3343,-83.0252,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
F. H. Goodard Inc. Contractors,1922,42.3354,-83.0248,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Trussed Concrete Steel Co.,1922,42.3359,-83.0237,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Frederick Kahl Iron Foundry & Pattern Co.,1922,42.3344,-83.0243,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
United Fuel & Supply Co. Dubois Yard Stables,1922,42.3347,-83.0231,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Detroit Dry Kiln Co. & Derry Lumber Co.,1922,42.3349,-83.0022,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
East Side Iron Works Structural Shop,1922,42.3351,-83.023,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Ainsworth Manufacturing Co.,1922,42.3359,-83.0228,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Capital Brass Works Brass & Aluminum Foundry,1922,42.3366,-83.0219,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Lauhoff Roller Mill Works,1922,42.3361,-83.0216,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Detroit Lumber Co. Chene St. Yard,1922,42.3352,-83.0214,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,ind
Commercial Storage Co. Merchandise Ware House,1922,42.3359,-83.0219,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_04_1922,
